escalation_level,age,tenure_months,loyalty_status,segment,region,industry,channel,issue_category,issue_subtype,product_line,device_type,time_of_day_bucket,wait_time_seconds,previous_interactions_30d,resolution_time_minutes,agent_experience_years,first_contact_resolution,number_of_transfers,SLA_breaches_last_6m,lifetime_tickets,average_response_delay,sentiment_score,monthly_fee,subscription_value_str,churn_risk_band,priority_flag,behaviour_score_1,behaviour_score_2,behaviour_score_3,behaviour_score_4,behaviour_score_5,ops_telemetry_kpi_1,ops_telemetry_kpi_2,ops_telemetry_kpi_3,ops_telemetry_kpi_4,ops_telemetry_kpi_5,post_interaction_quality_score,risk_indicator,service_pressure_score,customer_engagement_score
No escalation,41.0,42,Silver,Retail,Midlands,Hospitality,Phone,Returns,Invoice error,Premium,Web,Afternoon,246,0,62,3.9,No,1,2,29,0.96,1.663436969,5.0,290.9,Low,No,44.6,28.7,25.1,63.0,38.2,-0.0476,-0.5189,-0.5428,-1.3778,-0.0422,-0.5468041,2.2829280124401667,12.616435889979329,5.516467280060323
Minor escalation,45.0,51,Platinum,Other,South East,Retail,Phone,Returns,Payment failed,Standard,Mobile,Afternoon,122,1,34,1.2,Yes,0,0,6,1.27,-0.806203831,31.26,484.39,Low,No,43.8,31.0,34.2,48.0,55.3,-0.9036,1.5203,0.8085,1.3514,0.2095,3.53844019,12.21244235993571,6.21767768114752,5.664162854312599
Minor escalation,48.0,93,Bronze,Business,South East,Healthcare,Phone,Technical,Invoice error,Standard,Mobile,Afternoon,88,3,1,3.3,Yes,2,0,20,3.41,-1.356835393,58.04,439.11,High,No,53.5,58.9,56.4,38.0,54.0,1.6092,0.5504,0.6292,2.2461,0.2365,2.958347795,11.321570399531197,5.320627633314999,12.674002014202443
No escalation,58.0,77,Gold,Enterprise,Midlands,Retail,Chat,Account,Invoice error,Basic,Mobile,Night,350,1,23,4.1,Yes,0,0,4,2.94,0.699782831,55.44,676.17,Medium,No,61.8,26.2,50.1,56.3,95.8,0.1468,-0.7042,1.6789,0.3777,0.3789,-0.005074945,0.0,11.759884534172004,2.855439889217311
No escalation,50.0,0,Bronze,Retail,Midlands,Tech,Chat,Billing,Other,Standard,Desktop,Evening,77,2,18,4.1,No,0,1,2,0.59,2.242145039,5.6,293.24,Medium,No,58.1,52.0,45.0,49.3,39.8,0.1754,0.3677,0.2662,0.0792,-1.8758,-0.274705715,0.0,6.688651799241195,0.0
Serious escalation,57.0,56,Bronze,Enterprise,Wales,Tech,Email,Account,Slow internet,Basic,Mobile,Evening,114,1,51,4.2,No,0,0,13,2.74,-0.656434341,38.44,50,Low,No,57.9,73.9,36.1,34.6,42.1,-1.1268,-0.0388,0.6329,0.795,0.4025,5.369626988,25.756615688132964,19.802655798565333,12.67348218168007
Minor escalation,39.0,73,Bronze,Retail,South East,Finance,Email,Technical,Locked account,Basic,Mobile,Morning,173,1,11,2.6,No,0,0,4,2.99,-2.421756424,23.41,372.69,Medium,Yes,19.6,33.0,60.5,66.0,55.4,0.7053,0.0305,0.3991,0.0303,-0.7629,3.018858097,15.351287173858696,11.242332677766251,12.835243719728282
Minor escalation,31.0,12,Bronze,Business,Midlands,Finance,Chat,Billing,Locked account,Standard,Call-Centre,Evening,272,1,32,4.0,Yes,0,0,4,1.74,,44.17,569.74,Low,No,42.2,56.8,61.2,55.7,47.4,-0.7166,-0.047,1.4462,0.2802,0.8479,4.075683701,10.802223960697821,13.549125482215578,
Serious escalation,32.0,38,Bronze,Business,Midlands,Tech,Phone,Billing,Outage,Standard,Mobile,Evening,187,3,72,5.3,Yes,1,1,14,3.92,-1.346538468,41.27,867.18,High,No,35.2,60.4,67.1,53.3,35.8,-0.0527,1.6257,0.2261,-0.265,-1.6767,6.397401701,31.281052841528943,14.877928712358527,16.855607615258947
No escalation,40.0,62,Silver,Enterprise,North West,Tech,Phone,Account,Slow internet,Standard,Mobile,Afternoon,217,1,60,4.5,Yes,3,0,6,3.31,-0.399500655,63.55,109.13,High,No,26.1,51.1,70.7,54.1,50.6,0.2494,-0.8519,-0.3176,0.5603,-1.6935,-0.378406664,0.4927912643980738,11.161757703161834,1.9427100023764694
No escalation,36.0,21,Bronze,Retail,Midlands,Hospitality,Phone,Returns,Damaged item,Premium,Web,Afternoon,46,1,1,7.3,Yes,0,0,26,2.05,0.243370777,55.96,58.6,Low,No,42.6,71.4,28.6,61.4,33.5,-0.3659,0.8228,0.3677,0.5059,-0.0873,-0.811460594,2.9050946212650097,4.8442725594018405,7.801469274284541
No escalation,45.0,67,Bronze,Retail,Scotland,Retail,Phone,Technical,Locked account,Standard,Mobile,Afternoon,183,4,54,1.0,No,2,1,9,1.17,-0.193330798,12.36,50,Low,No,26.5,67.8,54.6,51.8,42.0,-1.2892,0.2296,-0.5262,0.6627,0.1104,0.173175828,0.0,9.62466763173278,2.730091116793867
Minor escalation,26.0,34,Bronze,Enterprise,Lonodn,Education,Phone,Account,Refund status,Standard,Web,Night,208,0,27,4.7,Yes,1,1,26,2.21,-0.680216093,57.71,,Low,No,16.0,60.5,39.9,46.3,22.7,1.0767,-0.4177,-0.1888,-0.684,-0.0139,3.594223175,,13.068883935449422,6.355745114070803
No escalation,46.0,50,Bronze,Retail,Scotland,Retail,In-app,Technical,Wrong item,Basic,Call-Centre,Afternoon,62,1,21,6.8,Yes,2,0,5,4.06,0.673558763,62.25,439.09,Low,No,61.0,33.1,70.1,47.9,66.3,-1.7769,-2.3475,0.3734,1.5548,-0.8458,0.907512454,0.0,5.564538845178443,3.337149303603627
No escalation,29.0,48,Silver,Business,Scotland,Retail,Chat,Technical,Damaged item,Basic,Mobile,Evening,271,0,37,0.0,Yes,0,0,10,1.44,-1.446223565,31.63,871.58,High,Yes,49.9,69.7,33.5,47.5,57.9,0.0024,1.4033,-0.4744,1.3444,-0.6897,0.243911898,0.0,5.654370395084438,6.438232102543479
Minor escalation,32.0,0,Bronze,Retail,South East,Education,In-app,Technical,Password reset,Standard,Mobile,Evening,186,1,14,3.3,Yes,1,0,15,3.4,-0.456723115,53.03,565.13,High,Yes,45.4,58.1,54.2,64.8,44.1,1.1021,-1.3144,0.4996,-1.2707,-0.3818,4.30468298,13.085231031499834,8.349476063416025,6.533729130411886
No escalation,33.0,62,Silver,Retail,North West,Education,Email,Account,Outage,Basic,Mobile,Evening,223,1,78,6.3,Yes,0,0,26,1.09,-1.227124139,40.97,247.85,Medium,Yes,65.8,15.1,56.3,36.2,43.0,0.1054,-1.8253,0.1451,-0.897,0.1902,0.326356397,0.0,9.673860826884438,5.036704000071261
No escalation,56.0,36,Bronze,Retail,London,Tech,Chat,Billing,Locked account,Premium,Web,Evening,155,0,38,4.7,No,0,0,6,3.72,0.66102735,24.28,299.59,Medium,No,32.8,59.8,62.2,61.1,60.6,2.0206,0.7837,2.7399,-1.0067,1.0417,0.012607245,1.934965446605611,7.621628150562412,0.0
No escalation,47.0,41,Bronze,Other,South East,Tech,Chat,Billing,Outage,Basic,Web,Afternoon,58,3,42,4.4,Yes,1,1,20,1.31,-1.231536428,51.29,362.32,Medium,No,59.6,60.0,67.9,38.5,52.6,1.0451,-0.9168,1.6348,0.4403,-1.8726,0.261522219,0.0,4.6741698142240375,10.78401260193278
No escalation,38.0,43,Bronze,Retail,Midlands,Tech,Phone,Technical,Outage,Basic,Desktop,Morning,66,2,35,2.7,Yes,2,0,9,1.13,1.986419185,16.06,599.26,Low,No,48.6,60.2,48.9,58.4,57.1,0.1454,0.1511,2.6311,0.6524,1.0058,0.175532985,3.1068220574153695,6.376175761728226,0.0
Legal escalation,56.0,28,Bronze,Business,Wales,Finance,Phone,Returns,Wrong item,Enterprise,Web,Evening,137,2,80,4.3,Yes,0,0,11,0.86,,47.12,820.77,Medium,Yes,61.1,61.8,51.3,64.7,44.2,0.0574,0.9135,1.5613,1.0956,-0.8248,8.688775489,49.16589744024163,17.957036046014824,
No escalation,48.0,35,Bronze,Retail,South East,Retail,In-app,Technical,Locked account,Basic,Web,Morning,201,1,37,4.4,No,1,1,18,2.23,0.255304643,40.67,358.31,Low,No,58.6,42.0,14.9,64.6,55.9,1.1294,-0.0805,-1.2867,-0.6129,-0.1535,0.297282606,0.0,8.644782543522433,3.9441263640575217
Minor escalation,42.0,0,Bronze,Student,Scotland,Healthcare,In-app,Technical,Invoice error,Premium,Web,Evening,78,0,67,4.8,Yes,0,0,7,2.55,1.105294147,56.97,961.51,High,No,35.4,48.5,39.6,49.0,38.3,-0.1333,-1.0694,1.371,1.0863,-0.68,3.151821438,11.543972796241825,8.36754109855141,2.1292167909907107
No escalation,41.0,17,Gold,Student,South East,Finance,In-app,Billing,Payment failed,Standard,Mobile,Afternoon,182,2,26,5.5,Yes,0,1,14,2.79,0.820981269,28.72,289.29,Low,Yes,49.8,47.5,71.3,48.2,53.0,-0.4666,3.0206,-0.2048,-0.2923,0.0089,0.152793723,0.0,5.90621761236821,1.4575215428730077
Legal escalation,22.0,34,Silver,Retail,South East,Tech,In-app,Other,Payment failed,Standard,Mobile,Afternoon,295,1,22,4.6,Yes,0,0,12,0.63,-1.541157937,22.01,400.98,High,Yes,53.7,64.6,35.0,35.0,46.1,2.228,2.389,-0.6004,0.3812,0.3341,8.959358437,47.66160304834506,20.675305767508377,14.690017324276331
Minor escalation,67.0,57,Bronze,Business,Midlands,Retail,Email,Billing,Delayed delivery,Basic,Mobile,Morning,360,1,34,1.9,No,0,0,9,2.15,0.037025162,32.44,662.79,Low,No,31.7,38.4,76.9,83.3,43.9,-0.2472,0.3978,0.1589,0.1621,0.0743,4.423656299,21.280933096824825,16.791486252811772,6.341192381209586
Minor escalation,58.0,13,Bronze,Business,North West,Hospitality,Chat,Account,Wrong item,Basic,Mobile,Night,140,0,25,2.5,Yes,0,0,51,3.13,0.558437131,55.53,405.81,Low,No,57.4,33.2,57.3,76.2,60.9,0.9031,0.6677,-0.3925,-0.5075,-0.4516,2.346921759,24.030532907086897,9.592121032899525,14.732772003005925
Minor escalation,32.0,63,Bronze,Student,North West,Healthcare,Chat,Orders,Wrong item,Basic,Mobile,Evening,283,1,30,1.2,No,0,0,29,1.03,0.427544474,20.72,,Low,No,42.4,69.6,46.5,60.3,61.7,0.1429,-1.1171,0.631,0.8672,-0.2511,2.424932152,7.673285296126558,13.515629077689159,9.271511705068425
Minor escalation,30.0,29,Bronze,Student,South East,Education,Phone,Returns,Payment failed,Basic,Web,Morning,150,4,32,6.6,Yes,0,0,53,4.36,-0.316024402,17.69,658.48,Low,No,39.2,69.8,53.1,59.8,62.1,-0.7148,-1.0802,-1.0675,0.5494,0.4019,2.620113677,15.81057996054734,7.429823773915933,20.97311313950615
Serious escalation,42.0,51,Silver,Retail,Scotland,Education,Phone,Account,Delayed delivery,Standard,Mobile,Afternoon,235,2,59,6.0,No,0,0,13,1.47,,41.19,328,Low,No,27.1,57.6,35.3,55.3,21.6,0.0199,-0.6645,-0.0451,-0.6803,-1.6943,5.889566974,45.6916078888134,19.445723227239675,
Serious escalation,43.0,52,Gold,Retail,Wales,Education,In-app,Orders,Invoice error,Basic,Web,Morning,301,0,71,2.0,Yes,0,0,4,3.12,-0.001281737,23.26,652.63,High,No,17.4,24.2,23.0,38.7,56.2,-1.4272,1.3427,-0.8848,0.1393,0.3595,5.743720411,,22.1733876585035,2.26422935341777
Minor escalation,52.0,65,Silver,Business,Scotland,Retail,Phone,Technical,Password reset,Standard,Web,Morning,181,0,47,6.1,Yes,2,0,16,2.74,0.496400298,28.77,,Low,No,72.0,62.8,65.0,29.4,70.2,-0.2356,0.9325,-0.0721,1.1499,0.0515,3.612302162,9.501003686039251,13.633397537267278,2.30502639739559
Minor escalation,52.0,66,Bronze,Retail,Wales,Retail,Phone,Billing,Delayed delivery,Enterprise,Desktop,Morning,143,0,56,1.4,Yes,0,1,8,3.74,1.055290726,31.37,60.96,Low,No,60.7,41.9,65.1,34.1,34.6,-0.507,-0.6882,-1.4993,0.0235,-0.0387,2.446192686,23.556993115966637,11.620955122672251,6.811434939617078
Serious escalation,34.0,72,Bronze,Retail,South East,Tech,Email,Technical,Delayed delivery,Basic,Mobile,Afternoon,367,0,16,1.6,No,0,1,4,2.73,-1.24983581,37.55,"1,013.53",Low,Yes,24.4,57.1,65.5,36.0,60.8,0.1779,-0.3172,-0.991,2.2354,-0.3611,5.571877048,24.077634477340073,23.566209819012727,11.091923922051539
Minor escalation,18.0,95,Silver,Retail,Lonodn,Tech,Email,Account,Invoice error,Premium,Web,Evening,241,1,22,5.5,Yes,1,1,13,2.68,0.770777145,18.67,,Low,No,25.8,56.4,55.9,60.8,57.2,0.183,-0.2072,0.011,0.6058,1.854,2.36182807,16.185099676260286,15.119267257046667,4.490146798575605
Minor escalation,48.0,15,Bronze,Retail,South East,Tech,Phone,Technical,Refund status,Basic,Desktop,Afternoon,220,0,36,0.0,Yes,2,1,15,5.0,-1.278068207,49.81,401.88,Low,Yes,51.5,54.7,53.8,48.2,36.2,0.006,-1.0652,-1.1766,-0.032,-1.2046,2.489568896,19.803514779855053,15.992848288770823,10.82200650298884
No escalation,33.0,24,Bronze,Enterprise,South East,Finance,Phone,Technical,Outage,Basic,Web,Afternoon,268,1,93,6.0,Yes,1,0,5,2.64,-0.497481286,35.8,313.2,Low,No,55.1,39.6,71.7,43.1,98.4,-1.7649,0.4382,0.4399,-0.7939,0.0896,0.274059207,0.0,10.768067815252444,4.931202151576083
No escalation,37.0,44,Bronze,Enterprise,Scotland,Retail,Phone,Orders,Other,Standard,Mobile,Afternoon,95,4,43,2.5,No,2,0,6,2.59,1.036318847,39.26,572.55,Medium,No,16.5,34.2,64.1,54.9,62.1,0.0756,-0.7532,2.4973,-0.3123,1.2162,-0.57199222,0.0,3.644947384770937,1.664798750882358
No escalation,44.0,0,Platinum,Retail,South East,Hospitality,Email,Billing,Damaged item,Basic,Mobile,Morning,197,1,29,1.3,No,0,1,17,2.8,2.165465425,20.81,398.77,High,No,37.9,55.1,49.6,70.7,66.7,0.744,0.1927,-0.8498,-0.4849,-0.5657,0.351716624,0.0,7.857907067086492,0.8694012975246928
No escalation,40.0,14,Bronze,Other,Wales,Retail,Email,Returns,Invoice error,Basic,Call-Centre,Morning,403,1,20,0.0,No,0,1,10,3.6,-0.693783453,31.88,655.59,Medium,No,38.3,48.8,18.7,34.3,49.1,-1.1812,-0.627,-0.5146,0.9233,-0.7834,-0.629058611,0.0,15.321681480892705,3.2269481637478687
No escalation,53.0,94,Bronze,Business,Scotland,Tech,Phone,Orders,Refund status,Standard,Web,Afternoon,202,1,72,3.6,No,1,0,3,3.09,0.871801932,63.51,409.09,Low,No,51.5,42.2,45.8,53.0,36.7,-1.507,1.0547,1.1597,-1.4183,-0.416,0.014443796,0.0,8.833400504445162,3.759013127539948
No escalation,41.0,5,Silver,Enterprise,Midlands,Finance,Phone,Other,Password reset,Standard,Web,Morning,169,1,53,0.2,Yes,1,0,1,3.54,1.001677684,54.37,484.92,Low,No,38.2,12.0,53.7,49.9,50.7,0.2391,-1.8378,0.4936,-0.3383,-0.5319,-1.10308228,0.0,5.601173037290599,0.0
No escalation,34.0,33,Silver,Enterprise,London,Healthcare,Chat,Technical,Locked account,Basic,Mobile,Afternoon,230,0,17,3.9,No,1,1,23,4.17,0.364133715,72.09,761.79,Low,No,43.3,34.2,42.4,41.6,30.1,-0.8157,1.7489,-0.1829,-0.0812,1.0573,-0.249985581,0.0,10.871085021045443,6.074996050507235
Legal escalation,18.0,79,Bronze,Retail,Scotland,Hospitality,Phone,Technical,Slow internet,Standard,Call-Centre,Morning,78,2,1,3.5,Yes,1,0,28,0.8,-0.43275897,30.87,510.4,High,No,30.4,62.6,35.8,29.8,47.2,-0.624,0.316,-0.396,-0.5569,0.493,8.711030386,42.80009490566546,13.5392797695551,19.981575045335266
No escalation,69.0,28,Silver,Enterprise,Midlands,Tech,Chat,Technical,Payment failed,Standard,Desktop,Morning,211,1,38,2.3,No,0,0,12,3.39,0.812123366,8.59,706.37,Low,No,49.6,63.5,50.9,53.1,45.2,-1.651,-2.21,-0.5713,0.2722,-1.3473,-0.654028205,0.0,7.235234894023776,0.0
No escalation,65.0,63,Bronze,Retail,Scotland,Healthcare,Phone,Technical,Other,Basic,Call-Centre,Morning,252,0,5,2.8,No,0,0,43,2.1,0.719481101,23.67,759.51,Medium,Yes,35.7,35.1,56.0,37.1,52.0,-0.6173,0.4603,-0.7895,-0.6956,-1.3406,0.011584178,5.2129012024316275,8.159877705515013,9.70926670576608
No escalation,47.0,100,Bronze,Other,South East,Tech,Phone,Technical,Password reset,Basic,Mobile,Morning,109,1,39,8.1,Yes,1,2,18,1.83,-0.216313019,25.11,132.19,Medium,Yes,43.9,73.7,27.6,66.2,18.9,0.2075,1.7801,0.5612,-1.518,1.3849,-0.38596477,0.0,9.373033563837025,3.0810487730747225
Serious escalation,31.0,14,Bronze,Business,South East,Tech,Chat,Billing,Outage,Basic,Web,Morning,88,1,100,0.0,Yes,2,0,6,3.42,-1.626956865,41.3,500.78,Low,No,45.0,30.3,72.2,36.4,31.7,0.462,-0.1553,0.8071,-0.2641,-0.6409,6.057066701,28.14972007136648,18.54517788189272,12.214126936026686
Minor escalation,49.0,49,Bronze,Business,Midlands,Tech,Phone,Other,Slow internet,Standard,Mobile,Evening,192,0,25,2.5,Yes,3,0,43,0.37,0.144904362,67.68,617.32,Low,Yes,41.8,42.4,37.4,46.4,28.8,0.0955,-1.0244,-0.3968,-1.0657,-1.5488,3.792346166,13.889203132634831,10.093478893381496,11.274635517684377
Serious escalation,29.0,83,Bronze,Retail,Midlands,Healthcare,Phone,Technical,Locked account,Standard,Desktop,Afternoon,224,2,44,5.7,Yes,0,1,4,3.1,0.45299017,7.26,717.48,Low,No,60.6,76.9,56.5,56.8,52.1,0.873,0.3974,0.1602,-1.0276,-0.5104,6.07168206,27.02534688481297,17.919442969371715,9.53045768278925
No escalation,23.0,63,Gold,Enterprise,South East,Hospitality,Email,Other,Outage,Basic,Mobile,Evening,0,0,60,4.0,Yes,0,1,9,1.76,-1.494817819,5.0,658.55,High,No,33.0,48.8,52.0,58.8,62.6,0.285,-0.676,0.6402,0.3919,1.4563,0.545731744,5.931968856362539,1.6142490655613557,1.9239874362469478
Serious escalation,23.0,18,Bronze,Retail,Wales,Retail,Phone,Billing,Outage,Basic,Mobile,Afternoon,200,1,60,3.8,Yes,0,0,7,1.79,0.174680589,50.26,603.25,Low,No,53.5,58.0,40.7,42.0,60.6,-0.3873,-0.6635,1.9699,1.4358,-0.3415,5.753622626,29.93083339870273,11.700077521264603,7.752320942750243
Minor escalation,44.0,63,Bronze,Student,London,Tech,Chat,Billing,Damaged item,Basic,Mobile,Morning,137,0,62,2.5,Yes,0,2,5,3.46,-0.774471663,22.18,445.54,Medium,Yes,33.3,77.3,54.6,71.9,79.6,0.7779,-0.1337,0.3675,0.0019,1.0062,3.677975647,25.255433242635927,8.923222315308823,9.55847889271198
No escalation,54.0,0,Bronze,Retail,Wales,Tech,Email,Orders,Refund status,Premium,Web,Evening,131,1,44,3.3,Yes,0,0,14,1.04,,120.71,558.43,Low,No,55.8,72.5,31.0,43.9,55.1,1.7024,-0.6203,-0.9803,-1.8018,0.8531,-0.793694283,0.0,5.189493806848719,
Minor escalation,21.0,0,Platinum,Business,North West,Education,Phone,Account,Refund status,Premium,Mobile,Afternoon,184,3,2,3.0,Yes,0,0,14,0.0,-0.585865115,27.23,512.72,Medium,No,50.6,90.4,34.0,40.8,53.6,0.008,-0.6685,0.048,0.2551,-0.761,3.253395976,12.888076232703092,10.115881481752355,7.3404213739673825
Minor escalation,36.0,39,Bronze,Business,North West,Finance,Chat,Technical,Invoice error,Premium,Call-Centre,Afternoon,136,1,37,2.9,No,1,0,26,3.3,-0.69812502,38.42,887.54,Low,No,35.3,72.8,44.1,31.3,59.1,-1.4959,0.3332,0.7798,0.7917,0.0032,3.243161112,16.484329284873567,9.53106050577108,11.570874312887156
No escalation,39.0,15,Bronze,Business,North West,Tech,Phone,Orders,Invoice error,Standard,Mobile,Evening,279,2,53,3.9,No,0,1,21,2.12,0.295182427,37.63,385.66,High,No,68.3,55.1,42.8,67.4,25.3,0.1706,0.8408,1.2896,-1.8445,1.1024,0.73441401,0.0,12.265063137926592,3.9617629991796415
Minor escalation,25.0,27,Bronze,Student,London,Healthcare,Phone,Technical,Password reset,Standard,Desktop,Evening,87,1,68,4.1,Yes,0,0,24,2.99,-0.954288858,60.43,670.38,High,No,16.6,59.8,57.2,63.2,34.9,0.7327,2.4763,-1.4966,0.8408,0.5527,2.897139717,11.969900813235212,9.81907493612793,6.327558430907707
Serious escalation,57.0,43,Bronze,Retail,Wales,Healthcare,Chat,Technical,Other,Standard,Desktop,Evening,141,3,68,2.1,Yes,0,0,6,1.53,0.081815782,10.41,69.44,Medium,No,43.6,34.1,48.5,50.9,51.3,-1.4041,0.1156,0.6386,0.0303,-0.566,6.527664106,32.650686537929246,14.727089686756262,9.743147258828625
Serious escalation,53.0,3,Silver,Retail,South East,Tech,Chat,Billing,Wrong item,Premium,Web,Afternoon,0,2,17,5.5,No,0,1,14,4.15,-1.104620022,54.19,376.1,Medium,No,52.3,53.8,74.9,82.1,33.8,-0.0798,0.2027,-0.6633,-0.006,1.1646,5.59679339,34.029872560257864,7.510119112527254,12.978247026757375
Legal escalation,48.0,41,Silver,Other,Midlands,Tech,Phone,Account,Wrong item,Enterprise,Desktop,Afternoon,276,1,36,6.0,No,1,1,16,3.8,-1.832548123,20.63,398.22,High,No,51.6,46.5,60.4,50.3,46.3,-1.7981,-1.0786,-0.6481,0.9411,0.1448,9.87654732,42.87606124838514,25.0245657804757,18.492948031782955
No escalation,35.0,29,Gold,Enterprise,Midlands,Tech,Email,Orders,Slow internet,Standard,Web,Morning,165,3,24,1.5,Yes,2,0,15,3.9,-0.842644908,49.81,710.19,Low,No,25.7,64.0,32.4,54.8,53.5,-0.3144,0.5951,0.9922,0.6902,-0.2761,0.440180086,1.4457379045476801,10.434468789421011,9.707282073709548
Minor escalation,28.0,48,Bronze,Business,Wales,Tech,Phone,Account,Refund status,Standard,Mobile,Afternoon,202,1,75,0.7,Yes,1,0,17,1.22,0.962966353,6.35,442.84,Medium,No,29.9,68.8,40.4,47.1,23.0,-0.1137,0.3848,-0.3326,1.406,0.8109,2.690104145,11.929903118111662,11.890731338617064,5.357275155858686
No escalation,29.0,29,Bronze,Retail,London,Finance,Phone,Technical,Wrong item,Premium,Mobile,Night,351,2,39,3.0,Yes,1,0,8,3.5,-1.254170571,41.49,573.57,High,No,50.1,50.0,59.0,48.7,42.6,1.0946,0.3272,-1.0029,-1.0998,1.5026,0.776943812,0.0,12.962712310029072,5.49294090811073
Minor escalation,20.0,80,Gold,Business,North West,Tech,Phone,Other,Damaged item,Premium,Call-Centre,Afternoon,68,0,9,2.0,Yes,1,2,12,0.98,2.547293938,14.85,454.49,Low,Yes,63.0,43.4,72.9,56.4,57.6,0.2544,0.9009,0.9727,0.648,-1.555,3.015824876,13.390191584216941,9.923574481636141,0.0
No escalation,31.0,36,Gold,Other,Scotland,Education,Chat,Billing,Delayed delivery,Standard,Mobile,Afternoon,165,0,67,0.0,Yes,1,0,9,2.75,0.401942968,43.84,551.43,Low,No,62.1,82.6,27.8,69.2,47.9,-1.0744,1.3403,-0.0057,0.2979,-0.0073,-1.107220577,0.0,5.024092046980304,5.319777392677287
Minor escalation,36.0,59,Gold,Retail,SouthE ast,Tech,Phone,Account,Wron gitem,Standard,Desktop,Night,269,1,15,,Yes,1,0,10,1.68,-1.342477562,53.91,260.18,High,No,76.1,48.6,51.0,58.6,49.4,0.4111,2.3807,0.5931,0.2964,-0.5355,2.535065082,9.950155121808754,11.538325820264639,9.693993035437616
No escalation,33.0,59,Silver,Enterprise,South East,Healthcare,Phone,Technical,Password reset,Premium,Web,Night,407,0,39,,Yes,2,0,14,1.24,0.220052711,50.87,712.53,Low,Yes,52.0,34.0,69.9,41.0,63.4,-0.8731,1.7359,1.6764,1.4209,-0.053,-0.038212382,0.0,13.1332495073172,5.803713089790926
Minor escalation,31.0,23,Bronze,Student,London,Finance,Chat,Technical,Outage,Enterprise,Web,Evening,124,1,35,4.9,No,2,0,2,3.91,0.066927629,29.56,317.9,Medium,No,60.3,45.3,43.1,56.6,31.7,-0.0786,-0.0376,-0.4257,-0.0859,0.2497,3.841721699,18.177278683364435,9.104400870177935,5.716720435006231
No escalation,32.0,66,Bronze,Business,South East,Healthcare,Chat,Orders,Outage,Basic,Web,Evening,172,3,62,2.4,Yes,0,0,27,2.33,-1.265010372,21.52,372.87,Medium,No,29.1,29.6,42.6,39.0,63.1,-0.481,-0.849,1.2004,-1.1272,0.861,0.868440807,5.7898611388955885,7.1063944900976015,11.001919925021207
No escalation,18.0,55,Bronze,Retail,Midlands,Retail,Phone,Billing,Delayed delivery,Basic,Mobile,Evening,268,3,4,4.7,Yes,1,0,11,2.9,0.719652097,44.83,585.29,Medium,No,64.6,40.2,64.1,95.9,55.5,1.3962,0.1291,0.3732,0.3939,-2.4511,-0.478747079,0.0,11.530602113041077,3.032635152748135
Serious escalation,41.0,39,Bronze,Business,South East,Healthcare,Phone,Other,Password reset,Premium,Desktop,Afternoon,35,0,58,4.1,No,0,0,11,2.74,1.169680291,25.68,,Low,No,49.6,24.7,61.8,44.9,74.3,1.0401,-1.0663,-0.5645,1.3919,-1.7582,6.553485962,34.35835656896199,9.174282901177124,6.366668876291147
No escalation,51.0,9,Bronze,Student,Midlands,Tech,Chat,Billing,Other,Standard,Mobile,Morning,394,1,10,1.6,Yes,0,0,15,2.82,-0.595589275,67.22,314.97,Low,No,79.8,41.9,67.7,46.2,36.5,0.1375,0.6957,0.2531,-0.2812,-0.5887,-0.618001015,6.582326875509521,15.041977282563463,2.0961961499524606
Serious escalation,39.0,0,Gold,Retail,iMdlands,Retail,Phone,Technical,Payment failed,Basic,Web,Evening,138,1,8,4.0,Yes,1,0,9,2.25,0.65593324,20.68,374.44,Medium,No,71.8,28.7,62.2,60.2,43.4,0.0947,-0.9655,0.0146,-0.9636,0.1773,6.113871508,27.698432144153593,13.943068738178116,6.955402398481955
Minor escalation,28.0,25,Bronze,Retail,South East,Education,Email,Technical,Locked account,Premium,Mobile,Afternoon,181,0,48,4.5,Yes,2,0,7,1.94,1.710770182,64.73,271.9,Low,Yes,64.9,59.9,60.4,31.6,44.0,3.0705,-1.1982,-0.6671,-1.4071,0.7683,3.517716196,9.400880690799958,11.442509893183743,4.321887491031639
Serious escalation,46.0,4,Silver,Retail,Midlands,Finance,Email,Account,Other,Basic,Web,Afternoon,259,1,34,4.7,Yes,0,1,2,3.36,-0.409867892,46.97,217.23,Low,Yes,41.0,20.5,40.1,57.9,48.6,0.3264,-1.9556,-0.6354,-0.8962,1.5828,7.17322285,28.560133495593483,14.85960476149219,9.129503423454059
Minor escalation,33.0,51,Bronze,Enterprise,Scotland,Finance,Chat,Other,Delayed delivery,Basic,Mobile,Evening,248,5,34,0.5,Yes,1,0,16,0.05,-0.407823654,29.05,501.78,Medium,No,39.5,52.6,57.0,40.8,48.6,-2.5848,0.1442,2.5526,-0.8419,0.6056,3.111243834,9.822711159670257,11.039219627356683,13.847284413212886
No escalation,33.0,63,Bronze,Retail,London,Retail,Chat,Technical,Locked account,Standard,Mobile,Evening,122,1,46,0.0,Yes,1,0,39,3.14,-0.577015449,47.09,388.1,Low,Yes,53.3,73.1,45.1,51.3,61.9,-1.6108,0.0746,0.3579,1.8107,-0.704,-0.009557161,6.778070804266632,8.346200128905961,9.251833037744445
